requests,latency_ms,errors
00001,192.21890190345613,0
00002,237.10442970623617,0
00003,200.31273859012876,0
00004,203.46467324671968,0
00005,207.24168458809882,0
00006,194.00740932942333,0
00007,232.65543149003102,0
00008,181.03995325444856,0
00009,176.82054217039192,0
00010,165.71208254433228,0
00011,194.9251600717802,0
00012,232.90176821455776,0
00013,209.33178936900876,0
00014,173.04486319402042,0
00015,195.59418087456373,0
00016,162.97710462138588,0
00017,196.92275130371192,0
00018,173.27661847733526,0
00019,201.16035317215642,0
00020,208.1283706451411,0
00021,224.86204972637825,0
00022,194.39222566954146,0
00023,198.4758028350962,0
00024,227.95845817516513,0
00025,205.5142556975901,0
00026,185.66044001750666,0
00027,225.4635578476187,0
00028,176.43729438128597,0
00029,176.54586863028996,0
00030,200.3105054909493,0
00031,179.01359211479567,0
00032,167.11925179920146,0
00033,174.70514052784878,0
00034,216.1335000455919,0
00035,210.63321893800145,0
00036,221.69040424734317,0
00037,201.15581922600563,0
00038,196.5900386292367,0
00039,180.15292841159624,0
00040,176.43913470918645,0
00041,216.3458826860878,0
00042,223.90357260024655,0
00043,197.50397258029503,0
00044,171.5900459213269,0
00045,172.7373321034714,0
00046,205.95933407380286,0
00047,199.00684051766584,0
00048,187.50390262893464,0
00049,210.855242548185,0
00050,189.62245453292599,0
00051,205.3431735145917,0
00052,196.92278889611288,0
00053,192.65001007097797,0
00054,234.17304551603223,0
00055,224.38166733641825,0
00056,226.383126844207,0
00057,214.15490246621238,0
00058,186.64329507494332,0
00059,213.49308894293867,0
00060,233.38370144243726,0
00061,170.6919755502552,1
00062,174.39418776289466,0
00063,178.75810227482538,0
00064,223.2952237545204,0
00065,189.46011161242367,0
00066,202.80828544039545,0
00067,206.03533205645397,0
00068,201.05088987877818,0
00069,197.5792290432324,0
00070,203.93110342438897,0
00071,177.07682294243506,0
00072,206.68949239813776,0
00073,239.41536091185998,0
00074,205.5359533069173,0
00075,185.51165608361921,0
00076,237.0911253955902,0
00077,192.0987610574096,0
00078,183.95936349101714,0
00079,174.7233792277657,0
00080,204.83534641503667,0
00081,167.08551645775458,0
00082,198.44023901711296,0
00083,199.11256862998593,0
00084,206.20383951325798,0
00085,194.34057003469695,0
00086,160.18227065267916,0
00087,214.04640310052955,0
00088,194.89812504998145,0
00089,218.6520275243359,0
00090,182.55805998753974,0
00091,212.52442867174568,0
00092,184.77799012681365,0
00093,163.5263545206423,0
00094,200.18657211311034,0
00095,198.5970729131315,0
